Argument ID,Aggregate rank,Mean rank,Rank annotator 1,Rank annotator 2,Rank annotator 3,Rank annotator 4,Rank annotator 5,Rank annotator 6,Rank annotator 7,Conclusion argument unit ID,Conclusion text,Number of premises,Corrected conclusion string,Corrected premises text,Premise 1 argument unit ID,Premise 1 text,Premise 2 argument unit ID,Premise 2 text,Premise 3 argument unit ID,Premise 3 text,Premise 4 argument unit ID,Premise 4 text,,,
1589,5,5,5,5,5,5,5,5,5,947,I'll start with my primary assertion: that a tweet is fundamentally valueless.,1,A tweet is fundamentally valueless.,The thrill is gone.,378,I agree... the thrill is gone., ,, ,, ,,,,
1847,2,2.142857143,1,3,2,3,2,2,2,947,I'll start with my primary assertion: that a tweet is fundamentally valueless.,1,A tweet is fundamentally valueless.,"Interestingly, I was alerted of that article via Twitter. Would you argue that the 140 characters that led me to the article were useless?",187,"Interesting, then, that I was alerted of your article via Twitter. Would you argue that the 140 characters that led me to your article were useless?", ,, ,, ,,,,
5476,1,1.285714286,3,1,1,1,1,1,1,4604,ALL minors should have additional protections,1,ALL minors should have additional protections on flights.,They will not be able to stand up and be heard as an adult might.,4605,as they will not be able to stand up and be heard as an adult might., ,, ,, ,,,,
5485,4,3.571428571,4,2,3,4,4,4,4,4604,ALL minors should have additional protections,1,ALL minors should have additional protections on flights.,"In general, I think that blanket policies on this topic would be a bad idea.",4606,"In general, I think that blanket policies on this topic would be a bad idea,", ,, ,, ,,,,
5491,2,2.428571429,1,4,2,2,2,3,3,4604,ALL minors should have additional protections,1,ALL minors should have additional protections on flights.,Minors and elderly that cannot take care of themselves should not fly alone.,4617,Minors and elderly that can not take care of themselves should not fly alone., ,, ,, ,,,,
5484,3,2.714285714,2,3,4,3,3,2,2,4604,ALL minors should have additional protections,2,ALL minors should have additional protections on flights.,The airlines require that a companion (an employee of the airline) is assigned (for a fee) to children under a certain age for the duration of their travels. How do the children just over the cutoff fend for themselves?,4602,The airlines require that a companion (an employee of the airline) be assigned (for a fee) to children under a certain age for the duration of their travels.,,4603,,"How do the children just over the cutoff fend for themselves?""""",4603,How do the children just over the cutoff fend for themselves?, ,, 
1912,3,2.714285714,2,3,2,3,3,3,3,687,that back button is key,1,Android's back button is key to easy navigation.,And the long-press home button to get to the recent app switcher is pretty nice once you get used to remembering to use it.,124,And the long-press home button to get to the recent app switcher is pretty nice once you get used to remembering to use it., ,, ,, ,,,,
1910,1,1.142857143,1,1,1,2,1,1,1,687,that back button is key,1,Android's back button is key to easy navigation.,Consistent user experience is the key. The Pre does it without a back button with back gestures.,1151,Consistent user experience is the key. Pre does it without a back button with back gestures., ,, ,, ,,,,
1653,2,2.285714286,3,2,4,1,2,2,2,687,that back button is key,1,Android's back button is key to easy navigation.,"I suppose a pervasive back-button on the iPhone wouldn't make much sense, since navigation on the iPhone is always one app deep at a time. You'd be constantly quitting and restarting apps just to get back to an app that was launched three steps ago.",456,I suppose a pervasive back-button on the iPhone wouldn't make much sense since navigation on the iPhone is always one app deep at a time. You'd be constantly quitting and restarting apps just to get back to an app that was launched three steps ago., ,, ,, ,,,,
528,4,3.857142857,4,4,3,4,4,4,4,687,that back button is key,1,Android's back button is key to easy navigation.,And the alt-tab-esque long press on the home button.,688,That and the Alt-Tab-esque long press on the Home button., ,, ,, ,,,,
2636,1,1.571428571,3,2,1,1,1,1,2,2546,"I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.",1,"Banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.","By and large, a large chunk of the codes of ethics -- as they're supposedly called -- actually protects shareholders and doesn't protect customers.",2548,by and large a large chunk of the codes of ethics � as they�re supposedly called � actually protects shareholders and doesn�t protect customers., ,, ,, ,,,,
2637,1,1.571428571,1,1,2,2,2,2,1,2546,"I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.",1,"Banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.",They aren't really implemented in any sensible way within the institutions.,2549,they aren�t really implemented in any sensible way within the institutions., ,, ,, ,,,,
2635,3,2.857142857,2,3,3,3,3,3,3,2546,"I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.",1,"Banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.",They don't explain what ethical behaviour is.,2547,"They don�t explain what ethical behaviour is,", ,, ,, ,,,,
1648,1,1.571428571,2,1,3,2,1,1,1,401,Comparing absolute numbers of apps is stupid,1,Comparing absolute numbers of apps is stupid.,"As they say, 90% of everything is shit. So i am not surprised if the iPhone has more quality apps, as that basically comes out of the overall number of apps available.",424,"as they say, 90% of everything is shit. So i am not surprised if the iphone have more quality apps, as that basically comes out of the overall number of apps available.", ,, ,, ,,,,
1736,3,2.285714286,3,2,1,1,3,3,3,401,Comparing absolute numbers of apps is stupid,1,Comparing absolute numbers of apps is stupid.,Comparing either quality or quantity of apps is pointless. Do you have another metric?,147,"So in summary, comparing either quality or quantity of apps is pointless. Umm, do you have another metric?", ,, ,, ,,,,
258,2,2.142857143,1,3,2,3,2,2,2,401,Comparing absolute numbers of apps is stupid,1,Comparing absolute numbers of apps is stupid.,"Particularly with a handful of successful iPhone apps, now, that cost two-three hundred dollars and do nothing but churn out RSS readers their customers are flooding the App Store with.",94,"Yeah, particularly with a handful of successful iPhone apps, now, that cost two-three hundred dollars and do nothing but churn out RSS readers their customers are flooding the App Store with.", ,, ,, ,,,,
17625,1,2.142857143,4,1,2,1,1,3,3,26224,God exists,3,God exists.,I don't think that there has to be some universe is analogous at all to what i'm saying. Life-permitting universes are vastly improbable compared to the whole array of possible universes and this does cry out for an explanation. God is the best explanation of the universe.,28314,I don't think this is analogous at all to what I'm saying.,28315,life-permitting universes are vastly improbable compared to the whole array of possible universes and this does cry out for an explanation.,28316,God is the best explanation of the universe, ,,,,
17832,3,2.571428571,2,3,1,2,4,2,4,26224,God exists,3,God exists.,Jesus resurrected from the dead. If Jesus did rise from the dead then it would seem that we have a divine miracle on our hands. The best explanation for the resurrection of jesus is the existence of god.,28704,If Jesus did rise from the dead then it would seem that we have a divine miracle on our hands,28705,Jesus resurrected from the dead,28706,The best explanation for the resurrection of Jesus is the existence of God, ,,,,
16659,2,2.428571429,1,2,4,4,3,1,2,26224,God exists,2,God exists.,Objective values cannot exist without god. Objective moral values do exist.,26229,objective values cannot exist without God,26230,objective moral values do exist, ,, ,,,,
17831,4,2.857142857,3,4,3,3,2,4,1,26224,God exists,2,God exists.,The historical person Jesus of Nazareth was a remarkable individual. The best explanation of the existence of an extraordinary individual like Jesus and of his deeds and words is the existence of god.,28702,The historical person Jesus of Nazareth was a remarkable individual,28703,The best explanation of the existence of an extraordinary individual like Jesus and of his deeds and words is the existence of God, ,, ,,,,
1227,3,3,3,3,3,3,3,3,3,249,"Google Docs are okay, but they utterly pale in comparison to MS Office.",1,"Google Docs are okay, but they utterly pale in comparison to MS Office.","The MS Office monster has a superior functionality, but the majority of private users and many of businesses do not even need 90% of its power.",1178,"Sure MS Office monster has a superior functionality, but majority of private users and many of businesses does not even need 90% of its power.", ,, ,, ,,,,
152,1,1,1,1,1,1,1,1,1,249,"Google Docs are okay, but they utterly pale in comparison to MS Office.",1,"Google Docs are okay, but they utterly pale in comparison to MS Office.","The MS Office monster has a superior functionality, but the majority of private users and many of businesses do not even need 90% of its power. That's why many of us (including small businesses which are faster to adapt) have completely switched to Google Docs / Google apps. They have anything that we need in daily work and are way more powerful and convenient for mobility and team work.",250,"Sure MS Office monster has a superior functionality, but majority of private users and many of businesses does not even need 90% of its power. Thats why many of us (including small businesses which are faster to adapt) have completely switched to google docs/google apps. That have anything that we need in daily work and way more powerful and convenient and mobility and team work.", ,, ,, ,,,,
1194,2,2,2,2,2,2,2,2,2,249,"Google Docs are okay, but they utterly pale in comparison to MS Office.",1,"Google Docs are okay, but they utterly pale in comparison to MS Office.","The MS Office monster has a superior functionality, but the majority of private users and many of businesses do not even need 90% of its power. That's why many of us (including small businesses which are faster to adapt) have completely switched to Google Docs / Google apps.",1159,"Sure MS Office monster has a superior functionality, but majority of private users and many of businesses does not even need 90% of its power. Thats why many of us (including small businesses which are faster to adapt) have completely switched to google docs/google apps.", ,, ,, ,,,,
17586,1,1.714285714,1,1,1,3,1,2,3,26860,I have to say no to war.,4,I have to say no to war.,"I am unconvinced along with so many others in the world that your dictator has sufficient weapons of mass destruction truly to pose a threat to other countries or ties to criminal groups who could use them for terror. There is no guarantee that this military adventure will in fact lead to a regime change or peace and stability for your region. If there is no guarantee that the military objectives of regime change and peace will be attained in war, there will be civilian casualties and a risk of world-destabilising aggression spinning out of control, and if the regime does not pose a real threat to other nations, then one ought to say no to war.",28237,If there is no guarantee that the military objectives of regime change and preace will be attained in war there will be civilian casualties and a risk of world-destabilising aggression spinning out of control and the regime does not pose a real threat to other nations then one ought to say no to war.,26861,there is no guarantee that this military adventure will in fact lead to a  regime change  or peace and stability for your region,26862,I am unconvinced along with so many others in the world that your dictator has sufficient weapons of mass destruction truly to pose a threat to other countries or ties to criminal groups who could use them for terror,26864,In the balance are not only the dead and mutilated of Iraq (and who knows how many from the invading force) but the very real possibility that such an act of pre-emptive world-destabilising aggression could spin out of control and lead to other despots pre-emptively arming themselves with all manner of apocalyptic weapons and perhaps to Armageddon.,,,
16937,2,2,2,2,2,4,2,1,1,26860,I have to say no to war.,1,I have to say no to war.,In the balance are not only the dead and mutilated of Iraq (and who knows how many from the invading force) but the very real possibility that such an act of pre-emptive world-destabilising aggression could spin out of control and lead to other despots pre-emptively arming themselves with all manner of apocalyptic weapons and perhaps to armageddon.,26864,In the balance are not only the dead and mutilated of Iraq (and who knows how many from the invading force) but the very real possibility that such an act of pre-emptive world-destabilising aggression could spin out of control and lead to other despots pre-emptively arming themselves with all manner of apocalyptic weapons and perhaps to Armageddon., ,, ,, ,,,,
16935,3,3,4,3,3,2,4,3,2,26860,I have to say no to war.,1,I have to say no to war.,The war may not change regime or lead to peace and stability.,26863,The war may not change regime or lead to peace and stability, ,, ,, ,,,,
16939,4,3.285714286,3,4,4,1,3,4,4,26860,I have to say no to war.,3,I have to say no to war.,There is no need for war. Our goal is to avoid people dying. The best means to do it is to stop or not combat wars we do not need.,26865,There is no need of this war,26866,Our goal is to avoid people dying,26867,best means to do it is to stop or not combat  wars we do not need, ,,,,
3969,1,1,1,1,1,1,1,1,1,4334,I would support a full ban of peanut products on any airline.,3,I would support a full ban of peanut products on any airline.,Peanut reactions can be life threatening. An individual doesn't have to consume the product to have a life threatening reaction. They can have contact or inhalation reactions.,4335,Peanut reactions can be life threatening.,4336,An individual doesn't have to consume the product to have a life threatening reaction.,4337,They can have contact or inhalation reactions., ,,,,
3971,2,2.428571429,3,3,2,2,2,2,3,4334,I would support a full ban of peanut products on any airline.,2,I would support a full ban of peanut products on any airline.,"Providing buffer zones to avoid contact with peanuts is a thoughtful gesture. But from a practical point of view, it does not work.",4340,"Providing buffer zones is a thoughtful gesture,",4341,but from a practical point of view does not work., ,, ,,,,
3970,4,3.428571429,4,2,4,3,3,4,4,4334,I would support a full ban of peanut products on any airline.,1,I would support a full ban of peanut products on any airline.,Restricting the ban of peanut producs to certain flights is not enough.,4338,"Restricting to certain flights is not enough,", ,, ,, ,,,,
3972,3,3.142857143,2,4,3,4,4,3,2,4334,I would support a full ban of peanut products on any airline.,1,I would support a full ban of peanut products on any airline.,"With so many food choices available, why are peanuts a necessary choice?",4342,"With so many food choices available, why are peanuts a necessary choice?", ,, ,, ,,,,
1243,2,2,3,2,1,2,2,2,2,254,"but in reality they don't really want file sharing to stop, it's their bread and butter...",1,"In reality the internet service providers don't really want file sharing to stop, it's their bread and butter.",The internet service providers are going to hurt their own pocket because everyone file shares.,1186,But as someone mentioned above -- the isp is going to hurt its own pocket because everyone file shares., ,, ,, ,,,,
381,3,3.285714286,2,3,4,3,4,3,4,254,"but in reality they don't really want file sharing to stop, it's their bread and butter...",1,"In reality the internet service providers don't really want file sharing to stop, it's their bread and butter.","File sharing won't stop, they'll just find better ways to do it.",552,"Completely agree with number 11. File sharing won't stop, they'll just find better ways to do it.", ,, ,, ,,,,
639,1,1.142857143,1,1,2,1,1,1,1,254,"but in reality they don't really want file sharing to stop, it's their bread and butter...",1,"In reality the internet service providers don't really want file sharing to stop, it's their bread and butter.","The internet service providers want their money, and if it means allowing file sharing, then that's a sacrifice they'll be more than willing to make.",531,"I completely agree with number 11 and 13. ISPs want their money, and if it means sacrificrificing (not sure if I spelled that right, I've been in a spelling slump.) i.e. allowing file sharing, then that's a sacrifice they'll be more than willing to make.", ,, ,, ,,,,
154,4,3.571428571,4,4,3,4,3,4,3,254,"but in reality they don't really want file sharing to stop, it's their bread and butter...",1,"In reality the internet service providers don't really want file sharing to stop, it's their bread and butter.",It is a conflict of interest and i find it pathetic that anybody comes up with such lofty ideas and actually succeed.,253,which brings me to agree with 11. it is a conflict of interest and i find it pathetic that anybody couple come up with such lofty ideas and actually succeed., ,, ,, ,,,,
2682,3,2.857142857,3,3,3,3,3,2,3,2617,I think investment banking is basically necessary.,1,Investment banking is basically necessary.,"If you didn't have investment banking, you'd have to recreate it.",2621,"If you didn�t have investment banking, you�d have to recreate it.", ,, ,, ,,,,
2681,1,1,1,1,1,1,1,1,1,2617,I think investment banking is basically necessary.,3,Investment banking is basically necessary.,"Investment banks manage risk. They raise money for governments, central and local. They raise money for companies.",2618,They manage risk,2619,"they raise money for governments, central and local",2620,They raise money for companies., ,,,,
2683,2,2.142857143,2,2,2,2,2,3,2,2617,I think investment banking is basically necessary.,1,Investment banking is basically necessary.,"Yes, you can have a different structure for the industry, but you end up back with investment banks.",2531,"yes you can have a different structure for the industry, but you end up back with investment banks", ,, ,, ,,,,
3528,5,5,5,5,5,5,5,5,5,3809,"Overall, it is possible that we will be using less physically-based interface systems",1,It is possible that we will be using less physically-based interface systems.,"Currently, people use mice and keyboards to interact with their PCs and touch screens for their phones.",3805,"Currently, people use mice and keyboards to interact with their PCs and touchscreens for their phones", ,, ,, ,,,,
3529,1,1.428571429,1,2,1,2,2,1,1,3809,"Overall, it is possible that we will be using less physically-based interface systems",1,It is possible that we will be using less physically-based interface systems.,"Voice input software is becoming prominent, with technologies such as Google Now and Microsoft's Cortana.",3807,"Furthermore, voice input software is becoming prominent as well, with technologies such as Google Now and Microsoft�s Cortana", ,, ,, ,,,,
3532,2,2.142857143,2,1,2,3,1,4,2,3809,"Overall, it is possible that we will be using less physically-based interface systems",1,It is possible that we will be using less physically-based interface systems.,Perhaps the accuracy and reliability of physical inputs such as keyboard and mouse may remain more popular than less predictable interface systems such as voice recognition.,3810,"On the other hand, perhaps the accuracy and reliability of physical inputs such the keyboard and mouse may remain more popular than less predictable interface systems such as voice recognition", ,, ,, ,,,,
3530,4,3.857142857,4,4,4,4,4,3,4,3809,"Overall, it is possible that we will be using less physically-based interface systems",1,It is possible that we will be using less physically-based interface systems.,Touch screens are beginning to be used with full sized computers as well.,3806,Touchscreens are beginning to be used with full sized computers as well, ,, ,, ,,,,
3531,3,2.428571429,3,3,2,1,3,2,3,3809,"Overall, it is possible that we will be using less physically-based interface systems",1,It is possible that we will be using less physically-based interface systems.,Virtual reality and gesture-based technologies could also be used for web purposes in the near future.,3808,Virtual reality and gesture-based technologies could also be used for web purposes in the near future, ,, ,, ,,,,
416,2,1.571428571,2,1,2,2,1,2,1,586,It's so ghetto to view pirated media.,1,It's so ghetto to view pirated media.,"All these people that are saying how stupid it is to share files... okay, you're not perfect little saints either! So stop trying to be noble... besides getting international music for famous jrock and jpop artists is next to impossible with out file sharing. Besides, sometimes if someone likes the artist enough they go and buy their CDs. So in a way they are helping artists gain more popularity. So when they go tour in other countries they make more money! So they need to stop griping... shoot... they have more money than they could ever hope to spend in a lifetime!!!",585,"oh and a final note for all the piracy is a crimers if you buy a dvd , cd, book or any other copy righted media according to the current piracy laws by letting anyone whether it be your friends or family view in any way that material you your self and the person shared to have committed a piracy crime whether money was obtained or not same goes if you pawn or sell said items as the gov and record company did not recieve any of that money or recieve money for the reciept of said material thus in legal terms the only way to watch a movie or listen to music or read a book legally is to A watch it in theaters B wait for it top show up on tv C listen to it on the radio or D borrow it from a government run, or properly liscened private library and so according to those whove seen read or listened to anything period needs to be sued and jailed.", ,, ,, ,,,,
1171,1,1.428571429,1,2,1,1,2,1,2,586,It's so ghetto to view pirated media.,1,It's so ghetto to view pirated media.,"For all the piracy-is-a-crimers: If you buy a DVD, CD, book, or any other copyrighted media, according to the current piracy laws, by letting anyone - whether it be your friends or family - view in any way that material, you yourself and the person shared to have committed a piracy crime. Whether money was obtained or not, same goes if you pawn or sell said items, as the government and record company did not recieve any of that money or recieve money for the receipt of said material. Thus, in legal terms, the only way to watch a movie or listen to music or read a book legally is to a) watch it in theaters, b) wait for it top show up on TV, c) listen to it on the radio, or d) borrow it from a government run or properly licensed private library. And so according to those who've seen, read, or listened to anything - period - needs to be sued and jailed.",1152,Plus all these people that are saying how stupid it is to share files...okay you're not perfect little saints either! So stop trying to be noble...besides getting international music for famous Jrock and Jpop artists is next to impossible with out file sharing. Besides sometimes if someone likes the artist enough they go and buy their cds so in a way they are helping artists gain more popularity so when they go tour in other countries they make more money! So they need to stop griping...shoot...they have more money than they could ever hope to spend in a lifetime!!!, ,, ,, ,,,,
3525,3,2.857142857,4,2,4,3,2,3,2,3786,"Firstly, it can be said that many individuals use the web to emphasise the social aspect of their lives and to communicate with their friends and family",1,Many individuals use the web to emphasize the social aspect of their lives and to communicate with their friends and family.,"Generally speaking, it is thought that the range of services available on the web can encourage a sedentary and antisocial behaviour in people.",3803,"Also, generally speaking, it is thought that the range of services available on the web can encourage a sedentary and antisocial behaviour in people", ,, ,, ,,,,
3510,4,3.571428571,3,4,3,4,3,4,4,3786,"Firstly, it can be said that many individuals use the web to emphasise the social aspect of their lives and to communicate with their friends and family",1,Many individuals use the web to emphasize the social aspect of their lives and to communicate with their friends and family.,It can be noticed that these modern platforms of communication may have adverse effects on our sociability.,3792,"However, it can be noticed that these modern platforms of communication may have adverse effects on our sociability", ,, ,, ,,,,
3507,2,2.571428571,2,3,2,2,4,2,3,3786,"Firstly, it can be said that many individuals use the web to emphasise the social aspect of their lives and to communicate with their friends and family",1,Many individuals use the web to emphasize the social aspect of their lives and to communicate with their friends and family.,"Platforms like Whatsapp, Snapchat and Skype serve as virtual methods of communicating with other people.",3790,"Other platforms like Whatsapp, Snapchat and Skype serve as virtual methods of communicating with other people", ,, ,, ,,,,
3506,1,1,1,1,1,1,1,1,1,3786,"Firstly, it can be said that many individuals use the web to emphasise the social aspect of their lives and to communicate with their friends and family",1,Many individuals use the web to emphasize the social aspect of their lives and to communicate with their friends and family.,"There are social networks like Facebook, Twitter and Instagram which are useful for keeping up with what friends are doing, for finding people with common interests or hobbies and for organising social events.",3789,"There are social networks like Facebook, Twitter and Instagram which are useful for keeping up with what friends are doing, for finding people with common interests or hobbies and for organising social events", ,, ,, ,,,,
4091,2,1.571428571,2,2,1,2,1,1,2,4617,Minors and elderly that can not take care of themselves should not fly alone.,1,Minors and elderly that cannot take care of themselves should not fly alone.,Airlines are not babysitters.,4618,Airlines are not babysitters.,  ,,  ,,  ,,,,
5492,1,1.428571429,1,1,2,1,2,2,1,4617,Minors and elderly that can not take care of themselves should not fly alone.,2,Minors and elderly that cannot take care of themselves should not fly alone.,"Sending your minor child on a plane (or bus) across the country, or across the world alone... who knows what could happen.",4619,"Sending your minor child on a plane (or bus) across the country, or across the world alone,",4620,who knows what could happen., ,, ,,,,
285,2,2,2,2,2,2,2,2,2,435,navigation is actually much easier on the android.,1,Navigation is much easier on the Android.,"Android, like the Blackberry, is an efficient OS once you get used to it, but it disappoints me in how little it advances the user experience.",436,"Android, like the Blackberry, is an efficient OS once you get used to it, but it disappoints me in how little it advances the user experience.", ,, ,, ,,,,
836,3,3,3,3,3,3,3,3,3,435,navigation is actually much easier on the android.,1,Navigation is much easier on the Android.,I feel like your comments about nexus one are too positive to be self-thought.,183,I feel like your comments about Nexus One is too positive to be self-thought., ,, ,, ,,,,
534,1,1,1,1,1,1,1,1,1,435,navigation is actually much easier on the android.,1,Navigation is much easier on the Android.,"Coming from iPhone, the navigation is a bit strange, but after a few days you get the hang of how the back button works and suddenly everything is awesome.",441,"Yeah, absolutely. Coming from iPhone it's a bit strange but after a few days you get the hang of how it (the back button) works and suddenly everything is awesome.", ,, ,, ,,,,
1464,5,4.142857143,5,4,4,4,2,5,5,188,"It's sharing, not stealing",1,"Piracy is sharing, not stealing.","All you stupid fucks fall for the term file sharing, like its some right to freely copy digital property without permission or paying for it.",1295,"And by the way, all you stupid fucks fall for the term file sharing like its some right to freely copy digital property without permission or paying for it.", ,, ,, ,,,,
1557,2,2.571428571,1,5,2,2,3,4,1,188,"It's sharing, not stealing",1,"Piracy is sharing, not stealing.","If you really think stealing is okay, then have someone steal your stuff and see if that bothers you. Call it sharing if that makes any difference at all.",1344,"If you really think stealing is okay, then have someone steal your stuff and see if that bothers you. Call it sharing if that makes any difference at all.", ,, ,, ,,,,
1575,3,3,3,3,3,3,4,2,3,188,"It's sharing, not stealing",1,"Piracy is sharing, not stealing.","Piracy is illegal. You aren't sharing anything. It's just a euphemism for stealing, and that's exactly what it is.",1354,"Secondly, piracey is illegal. You aren't sharing anything. It's just a eufimisom for STEALING, and that's exactly what it is.", ,, ,, ,,,,
1165,1,1.285714286,2,1,1,1,1,1,2,188,"It's sharing, not stealing",1,"Piracy is sharing, not stealing.","Piracy is illegal. You aren't sharing anything. It's just a euphemism for stealing, and that's exactly what it is. It cheats the creator out of their money.",1150,"Secondly, piracey is illegal. You aren't sharing anything. It's just a eufimisom for STEALING, and that's exactly what it is. It cheats the creator out of their money.", ,, ,, ,,,,
972,4,4,4,2,5,5,5,3,4,188,"It's sharing, not stealing",1,"Piracy is sharing, not stealing.","What is the philosophy of the file stealers? I want it, therefore, I should be able to steal it? This is what happens when you learn about the world by sitting in front of the computer whacking off to internet porn. You become really, really stupid. If you really think stealing is okay, then have someone steal your stuff and see if that bothers you. Call it sharing if that makes any difference at all.",549,"What is the philosophy of the file-stealers? I want it, therefore, I should be able to steal it? This is what happens when you learn about the world by sitting in front of the computer whacking off to internet porn. You become really, really stupid. If you really think stealing is okay, then have someone steal your stuff and see if that bothers you. Call it sharing if that makes any difference at all.", ,, ,, ,,,,
17681,2,1.714285714,2,1,2,2,2,1,2,28309,pumping ground water in discriminately without recharging is creating havoc,2,Pumping ground water indiscriminately without recharging is creating havoc.,"The reduction of level of water is provoked by indiscriminate pumping. When the water table comes down, it affects the drinking water and tubewells get dislodged.",28422,The reduction of level of water is provoked by indiscriminate pumping,28312,When the water table comes down it affects the drinking water and tubewells get dislodged., ,, ,,,,
